model,term,estimate,std.error,or,lower,upper,p.value
dig,ckd_cat2eGFR 45 - <60:sex1,-0.02775192744236904,0.07578715877819084,0.97,0.84,1.13,0.71423
dig,ckd_cat2eGFR <45:sex1,-0.16081344585444865,0.07994415082005542,0.85,0.73,1,0.04427
headneck,ckd_cat2eGFR >=105,0.740679271230709,0.29837656106068583,2.1,1.17,3.76,0.01305
headneck,ckd_cat2eGFR 90 - <105,0.2885978126421037,0.17188671796902819,1.33,0.95,1.87,0.09315
headneck,ckd_cat2eGFR 60 - <75,0.1724443767264262,0.1866191984094064,1.19,0.82,1.71,0.35546
headneck,ckd_cat2eGFR 45 - <60,0.6011955590239146,0.2034962955908982,1.82,1.22,2.72,0.00313
headneck,ckd_cat2eGFR <45,0.16883455716960097,0.2654701537582229,1.18,0.7,1.99,0.52479
headneck,sex1,0.15407638328332518,0.13793864479163587,1.17,0.89,1.53,0.264
headneck,age,0.05229649403173981,0.004095335131063329,1.05,1.05,1.06,0
headneck,WIMD_2011_DECILE,-0.029568886455334488,0.011520246401438628,0.97,0.95,0.99,0.01027
headneck,SMOKING_STATUSNon_smoker,-0.26385595188396554,0.09596702542289112,0.77,0.64,0.93,0.00597
headneck,SMOKING_STATUSSmoker,0.4322167892498149,0.0790609992113507,1.54,1.32,1.8,0
headneck,mm_count_no_ckd,0.08043796237737971,0.015148233663706524,1.08,1.05,1.12,0
headneck,stage_simplified2,0.3148227025348084,0.14830858194499313,1.37,1.02,1.83,0.03377
headneck,stage_simplified3,0.6403409061680497,0.14711332110086262,1.9,1.42,2.53,1e-5
headneck,stage_simplified4,1.2002903837093535,0.11597290714007677,3.32,2.65,4.17,0
headneck,stage_simplifiedUnknown,0.9640159553444761,0.13500193559729703,2.62,2.01,3.42,0
headneck,ckd_cat2eGFR >=105:sex1,-0.11402703351973852,0.327306579694605,0.89,0.47,1.69,0.72755
headneck,ckd_cat2eGFR 90 - <105:sex1,-0.17626697269441674,0.19279133915823385,0.84,0.57,1.22,0.36057
headneck,ckd_cat2eGFR 60 - <75:sex1,-0.16713275577936412,0.2166305188166627,0.85,0.55,1.29,0.4404
headneck,ckd_cat2eGFR 45 - <60:sex1,-0.4625920046133151,0.24786049940189975,0.63,0.39,1.02,0.06199
headneck,ckd_cat2eGFR <45:sex1,-0.09469464707680152,0.3112080845956572,0.91,0.49,1.67,0.76091
kub,ckd_cat2eGFR >=105,-0.4045071798816072,0.5865866786158163,0.67,0.21,2.11,0.49045
kub,ckd_cat2eGFR 90 - <105,-0.018514615533805397,0.15629528092283554,0.98,0.72,1.33,0.9057
kub,ckd_cat2eGFR 60 - <75,0.08582982656126624,0.12176507940669244,1.09,0.86,1.38,0.48088
kub,ckd_cat2eGFR 45 - <60,0.07161984817078637,0.12029035035740021,1.07,0.85,1.36,0.55158
kub,ckd_cat2eGFR <45,0.26359147078681977,0.11275509848541285,1.3,1.04,1.62,0.0194
kub,sex1,0.028271815542706465,0.1028889179794103,1.03,0.84,1.26,0.78349
kub,age,0.04255253423412411,0.002803876820723506,1.04,1.04,1.05,0
kub,WIMD_2011_DECILE,-0.021331146643239228,0.007819744920110902,0.98,0.96,0.99,0.00637
kub,SMOKING_STATUSNon_smoker,-0.023789438650139275,0.050785205266669915,0.98,0.88,1.08,0.63948
kub,SMOKING_STATUSSmoker,0.1909991187019906,0.06265730108423978,1.21,1.07,1.37,0.0023
kub,mm_count_no_ckd,0.05151943229926919,0.01080878892838217,1.05,1.03,1.08,0
kub,stage_simplified2,0.8292487048366813,0.0707148258027599,2.29,2,2.63,0
kub,stage_simplified3,0.7114862477367415,0.08825473468523673,2.04,1.71,2.42,0
kub,stage_simplified4,1.926485850269232,0.06877951995481939,6.87,6,7.86,0
kub,stage_simplifiedUnknown,0.8664803126697266,0.06605352457944545,2.38,2.09,2.71,0
kub,ckd_cat2eGFR >=105:sex1,0.45779618199722594,0.6280992596848463,1.58,0.46,5.41,0.46609
kub,ckd_cat2eGFR 90 - <105:sex1,-0.06361138839994092,0.1877486342046075,0.94,0.65,1.36,0.73475
kub,ckd_cat2eGFR 60 - <75:sex1,-0.006716863286322363,0.1476010851288334,0.99,0.74,1.33,0.9637
kub,ckd_cat2eGFR 45 - <60:sex1,0.07616023008486428,0.14435508873683806,1.08,0.81,1.43,0.59778
kub,ckd_cat2eGFR <45:sex1,0.06180937296172121,0.1343967905628471,1.06,0.82,1.38,0.64559
melanoma,ckd_cat2eGFR >=105,1.2490945943205631,0.41452073062738104,3.49,1.55,7.86,0.00258
melanoma,ckd_cat2eGFR 90 - <105,0.257563671490767,0.2556755091790013,1.29,0.78,2.14,0.31375
melanoma,ckd_cat2eGFR 60 - <75,0.14807230606711339,0.18507227290494102,1.16,0.81,1.67,0.42367
melanoma,ckd_cat2eGFR 45 - <60,0.14618663417943178,0.19747350595370303,1.16,0.79,1.7,0.45913
melanoma,ckd_cat2eGFR <45,0.10683883570790702,0.22523209594971186,1.11,0.72,1.73,0.63525
melanoma,sex1,0.20230862049309928,0.16411779006452895,1.22,0.89,1.69,0.21769
melanoma,age,0.06594391844662273,0.005337342656444621,1.07,1.06,1.08,0
melanoma,WIMD_2011_DECILE,-0.02827998355026433,0.0144688503880699,0.97,0.94,1,0.05064
melanoma,SMOKING_STATUSNon_smoker,-0.21796764416782025,0.09254274958210872,0.8,0.67,0.96,0.01851
melanoma,SMOKING_STATUSSmoker,0.4887435411015463,0.1426438636507808,1.63,1.23,2.16,6.1e-4
melanoma,mm_count_no_ckd,0.1298176896793507,0.020958273961526865,1.14,1.09,1.19,0
melanoma,stage_simplified2,0.9564046432331799,0.10580089590883945,2.6,2.11,3.2,0
melanoma,stage_simplified3,1.0817526470015524,0.17204978963946851,2.95,2.11,4.13,0
melanoma,stage_simplified4,2.125174418787958,0.1610893137974248,8.37,6.11,11.48,0
melanoma,stage_simplifiedUnknown,0.5678912544168557,0.14036361998581653,1.76,1.34,2.32,5e-5
melanoma,ckd_cat2eGFR >=105:sex1,0.04043857146889922,0.5474732765471789,1.04,0.36,3.04,0.94112
melanoma,ckd_cat2eGFR 90 - <105:sex1,0.27896216808416024,0.305447123935758,1.32,0.73,2.41,0.36109
melanoma,ckd_cat2eGFR 60 - <75:sex1,0.1534982590225941,0.2383333862440003,1.17,0.73,1.86,0.51954
melanoma,ckd_cat2eGFR 45 - <60:sex1,-0.11254027400932903,0.2555222652449386,0.89,0.54,1.47,0.65962
melanoma,ckd_cat2eGFR <45:sex1,0.12766665436383431,0.28239450974714525,1.14,0.65,1.98,0.65121
other,ckd_cat2eGFR >=105,0.22564644122616714,0.27030464890448264,1.25,0.74,2.13,0.40384
other,ckd_cat2eGFR 90 - <105,0.03500476388805377,0.13624985653674582,1.04,0.79,1.35,0.79724
other,ckd_cat2eGFR 60 - <75,-0.1254234071427848,0.1249794755723355,0.88,0.69,1.13,0.31559
other,ckd_cat2eGFR 45 - <60,-0.06720252199336821,0.14962079855778673,0.94,0.7,1.25,0.65332
other,ckd_cat2eGFR <45,0.7761315116393104,0.16817192365763137,2.17,1.56,3.02,0
other,sex1,0.13320424064344402,0.1014789409124105,1.14,0.94,1.39,0.18931
other,age,0.03293924838343587,0.0031147499173015485,1.03,1.03,1.04,0
other,WIMD_2011_DECILE,-0.011837069087308177,0.009553215611154717,0.99,0.97,1.01,0.21532
other,SMOKING_STATUSNon_smoker,-0.00877186034933674,0.060684602525547436,0.99,0.88,1.12,0.88507
other,SMOKING_STATUSSmoker,0.12843532085318812,0.08447231521487253,1.14,0.96,1.34,0.1284
other,mm_count_no_ckd,0.025730015912018026,0.014289816146182795,1.03,1,1.06,0.07177
other,stage_simplified2,0.17835005389128322,0.21246247611951752,1.2,0.79,1.81,0.40122
other,stage_simplified3,0.49852557328138647,0.19031442326431738,1.65,1.13,2.39,0.00881
other,stage_simplified4,0.9736911434121084,0.17475802514117764,2.65,1.88,3.73,0
other,stage_simplifiedUnknown,0.7085084762894107,0.15461520433673537,2.03,1.5,2.75,0
other,ckd_cat2eGFR >=105:sex1,-0.4063376430745973,0.35485418218856635,0.67,0.33,1.34,0.25217
other,ckd_cat2eGFR 90 - <105:sex1,-0.011543183983966704,0.1635600975367551,0.99,0.72,1.36,0.94374
other,ckd_cat2eGFR 60 - <75:sex1,0.06742354223314101,0.15364570355298993,1.07,0.79,1.45,0.66079
other,ckd_cat2eGFR 45 - <60:sex1,-0.006811940267515684,0.18192615028599113,0.99,0.7,1.42,0.97013
other,ckd_cat2eGFR <45:sex1,-0.5260134071889311,0.20181238741731403,0.59,0.4,0.88,0.00915
resp,ckd_cat2eGFR >=105,0.5056016751960892,0.11893691903585274,1.66,1.31,2.09,2e-5
resp,ckd_cat2eGFR 90 - <105,0.1603309533512614,0.04867952686481321,1.17,1.07,1.29,9.9e-4
resp,ckd_cat2eGFR 60 - <75,0.08624234134234736,0.04596308186378933,1.09,1,1.19,0.06061
resp,ckd_cat2eGFR 45 - <60,0.1244741971698861,0.05334817885758254,1.13,1.02,1.26,0.01964
resp,ckd_cat2eGFR <45,0.23391962330650734,0.05900309786368739,1.26,1.13,1.42,7e-5
resp,sex1,0.12344789958838442,0.040978821307409055,1.13,1.04,1.23,0.00259
resp,age,0.03402254105189216,0.0015199111186918067,1.03,1.03,1.04,0
resp,WIMD_2011_DECILE,-0.01176979817681683,0.004097167168453556,0.99,0.98,1,0.00407
resp,SMOKING_STATUSNon_smoker,-0.1448864079501379,0.037961846483926184,0.87,0.8,0.93,1.4e-4
resp,SMOKING_STATUSSmoker,0.17369907117457145,0.02541511702092763,1.19,1.13,1.25,0
resp,mm_count_no_ckd,0.02576380181089767,0.005356855369724542,1.03,1.02,1.04,0
resp,stage_simplified2,0.49394258079182196,0.05645398012267137,1.64,1.47,1.83,0
resp,stage_simplified3,1.0102463734329097,0.04352780216427979,2.75,2.52,2.99,0
resp,stage_simplified4,1.7308270965918304,0.04075575884349458,5.65,5.21,6.11,0
resp,stage_simplifiedUnknown,1.445225029402018,0.051582359782551074,4.24,3.83,4.69,0
resp,ckd_cat2eGFR >=105:sex1,-0.07685069594580493,0.15114431661247557,0.93,0.69,1.25,0.61113
resp,ckd_cat2eGFR 90 - <105:sex1,-0.03161774813981573,0.06440286350513569,0.97,0.85,1.1,0.62347
resp,ckd_cat2eGFR 60 - <75:sex1,-0.08162803333408748,0.06295113296773994,0.92,0.81,1.04,0.19474
resp,ckd_cat2eGFR 45 - <60:sex1,-0.03672450561963079,0.07279457479781287,0.96,0.84,1.11,0.61391
resp,ckd_cat2eGFR <45:sex1,-0.13049901528982055,0.07940192725056439,0.88,0.75,1.03,0.10027
thyroid,ckd_cat2eGFR >=105,-14.835074441302293,3874.588276527558,0,0,Inf,0.99695
thyroid,ckd_cat2eGFR 90 - <105,0.32545936417996263,0.6961044232297727,1.38,0.35,5.42,0.64011
thyroid,ckd_cat2eGFR 60 - <75,0.6653843509238109,0.5359091694844372,1.95,0.68,5.56,0.21438
thyroid,ckd_cat2eGFR 45 - <60,1.1476790306715794,0.6050171965273358,3.15,0.96,10.31,0.05784
thyroid,ckd_cat2eGFR <45,0.5860042413472917,0.5656685539850432,1.8,0.59,5.45,0.30023
thyroid,sex1,0.878089540526509,0.5372463016966819,2.41,0.84,6.9,0.10217
thyroid,age,0.0981094822454231,0.017803717179711014,1.1,1.07,1.14,0
thyroid,WIMD_2011_DECILE,0.001329437506843018,0.04817288322206962,1,0.91,1.1,0.97798
thyroid,SMOKING_STATUSNon_smoker,-0.4340013905728018,0.31330188402855347,0.65,0.35,1.2,0.16598
thyroid,SMOKING_STATUSSmoker,0.4000215443335003,0.4191308096956689,1.49,0.66,3.39,0.33988
thyroid,mm_count_no_ckd,0.11531569929949141,0.0714289643087922,1.12,0.98,1.29,0.10644
thyroid,stage_simplified2,-1.0065588410822808,1.1339670801764277,0.37,0.04,3.37,0.37473
thyroid,stage_simplified3,0.788588682642222,0.7036626109085687,2.2,0.55,8.74,0.26242
thyroid,stage_simplified4,1.9666565452095015,0.5867033108495956,7.15,2.26,22.57,8e-4
thyroid,stage_simplifiedUnknown,1.504688181694771,0.5650819819758701,4.5,1.49,13.63,0.00775
thyroid,ckd_cat2eGFR >=105:sex1,17.545219701472778,3874.588292716365,41666987.29,0,Inf,0.99639
thyroid,ckd_cat2eGFR 90 - <105:sex1,-0.19201750696054132,0.8896681837145514,0.83,0.14,4.72,0.82912
thyroid,ckd_cat2eGFR 60 - <75:sex1,-0.7535056584500517,0.7782746571066809,0.47,0.1,2.16,0.33296
thyroid,ckd_cat2eGFR 45 - <60:sex1,-2.818540934423479,1.224544939344368,0.06,0.01,0.66,0.02135
thyroid,ckd_cat2eGFR <45:sex1,-1.6367745778029184,0.8403153828039356,0.19,0.04,1.01,0.05144
