term,estimate,std.error,statistic,p.value,sex,model
mm_count_no_ckd,0.057785231880249234,0.007936357642223488,7.2810770992497575,3.3116533994108206e-13,male,dig
stage_simplified2,0.48649047748907764,0.07373243597433131,6.598052418320222,4.165939873073901e-11,male,dig
stage_simplified3,0.8520395572524281,0.06891763241686433,12.363157690889157,4.13585139889406e-35,male,dig
stage_simplified4,2.1530254531920887,0.06835308678038066,31.498584110909096,9.083053767474528e-218,male,dig
stage_simplifiedUnknown,1.3305397051429313,0.07314544633643752,18.19032860942597,6.156991972160638e-74,male,dig
ckd_cat2eGFR >=105,0.6842878026572229,0.17906201615418588,3.821512888964679,1.3263548040958986e-4,male,headneck
ckd_cat2eGFR 90 - <105,0.1496683560261892,0.10110737981554282,1.4802911152404454,0.13879557330058231,male,headneck
ckd_cat2eGFR 60 - <75,-0.0030771644538183716,0.111537426475128,-0.02758862698436525,0.9779902525659278,male,headneck
ckd_cat2eGFR 45 - <60,0.11781672135644308,0.1497094449921834,0.7869691946462998,0.43129989954480114,male,headneck
ckd_cat2eGFR <45,0.024436228446639032,0.17802422255833325,0.13726350322149003,0.8908225175376897,male,headneck
age,0.05493346576220955,0.004748674736861947,11.568167711253071,5.974493919592599e-31,male,headneck
WIMD_2011_DECILE,-0.03766912785537778,0.013327586550893382,-2.8264027932988904,0.004707402919279279,male,headneck
SMOKING_STATUSNon_smoker,-0.20310833895999977,0.1105921686637935,-1.8365526367193388,0.06627596480777301,male,headneck
SMOKING_STATUSSmoker,0.38770603482593485,0.09059322432966704,4.279636117322416,1.8719912197106725e-5,male,headneck
mm_count_no_ckd,0.08803214082383777,0.017474882098385432,5.037638613422827,4.7131022888112235e-7,male,headneck
stage_simplified2,0.42245615065962233,0.1833972075064915,2.303503725075362,0.021250517812086273,male,headneck
stage_simplified3,0.7474612431216647,0.17722509446512522,4.217581293312567,2.4693680642272543e-5,male,headneck
stage_simplified4,1.2858243918660912,0.14460965366322223,8.891691248086488,6.018573431745994e-19,male,headneck
stage_simplifiedUnknown,1.1166003493634893,0.16750082830927676,6.6662377770561045,2.6244394599343356e-11,male,headneck
ckd_cat2eGFR >=105,0.026966711343278535,0.2439763338638428,0.11053002935246987,0.9119890357861026,male,kub
ckd_cat2eGFR 90 - <105,-0.10115642714550246,0.11392422813793708,-0.8879272547980257,0.3745798829730676,male,kub
ckd_cat2eGFR 60 - <75,0.08158476830340458,0.08419283557780934,0.9690226934809146,0.33253386664444223,male,kub
ckd_cat2eGFR 45 - <60,0.1539876253541291,0.08295707380901587,1.856232606620625,0.06342041035117602,male,kub
ckd_cat2eGFR <45,0.3452921561072742,0.08237466606662634,4.19172753705605,2.7683834719254223e-5,male,kub
age,0.04189802915244188,0.0035440337212294865,11.822130501034492,2.9997900200157714e-32,male,kub
WIMD_2011_DECILE,-0.01648897300958096,0.00959260054068712,-1.7189262640138931,0.08562779912537222,male,kub
SMOKING_STATUSNon_smoker,-0.0246963509801554,0.06187042809642936,-0.3991624389872399,0.6897735174799579,male,kub
SMOKING_STATUSSmoker,0.20023064538968172,0.07552301883950535,2.651253200235463,0.00801936976250361,male,kub
mm_count_no_ckd,0.05429020050844959,0.012995086373020142,4.1777483388771195,2.944091402421609e-5,male,kub
stage_simplified2,0.8324321691070902,0.08379958341230508,9.933607485987292,2.9730069671261265e-23,male,kub
stage_simplified3,0.7598316405339736,0.10668034746664143,7.1225081149231375,1.0598051169968478e-12,male,kub
stage_simplified4,1.9368673989164156,0.08393756366035829,23.075096708235193,8.236555743845208e-118,male,kub
stage_simplifiedUnknown,0.8407089727357514,0.07996947488961428,10.51287349199457,7.536169047649372e-26,male,kub
ckd_cat2eGFR >=105,0.6180532944399063,0.5900631101239517,1.0474359163210099,0.294898573906788,male,male
ckd_cat2eGFR 90 - <105,0.07568330491703924,0.41445790071586563,0.18260794349997067,0.8551056511384547,male,male
ckd_cat2eGFR 60 - <75,-0.2990325203200841,0.45949764332638776,-0.6507814015221771,0.5151876076364964,male,male
ckd_cat2eGFR 45 - <60,-0.44033963222355527,0.4674185439144594,-0.9420671001536906,0.34615828718447395,male,male
ckd_cat2eGFR <45,0.6883370406871859,0.4334753328481639,1.5879497367576716,0.11229770539768799,male,male
age,0.0488378300352059,0.013167546858832575,3.7089543374167895,2.081169522382436e-4,male,male
WIMD_2011_DECILE,-0.05884757878349149,0.048771060957714586,-1.2066085426050794,0.22758293531727689,male,male
SMOKING_STATUSNon_smoker,-0.12834197211121748,0.3070066532698294,-0.418042966640261,0.6759157029735345,male,male
SMOKING_STATUSSmoker,0.47468519551289534,0.3595575988929192,1.32019236131973,0.1867708016811662,male,male
mm_count_no_ckd,0.09709993123421103,0.06418864744480077,1.5127274853035722,0.1303488949864291,male,male
stage_simplified2,0.5772318638710866,0.42460649941118694,1.3594513147385856,0.17400361990534977,male,male
stage_simplified3,1.5463216246669498,0.5132561631360524,3.012767767305028,0.002588769407764635,male,male
stage_simplified4,3.3376498972173883,0.6870186456320189,4.858164939827705,1.1847869510066334e-6,male,male
stage_simplifiedUnknown,1.1398051180991742,0.3491470153851665,3.264542063582534,0.0010964118181494944,male,male
ckd_cat2eGFR >=105,1.2528592678609969,0.4292728234659292,2.9185618081887137,0.0035165015414796797,male,melanoma
ckd_cat2eGFR 90 - <105,0.5566724304243302,0.19335550479782534,2.8790099925336654,0.003989256939306125,male,melanoma
ckd_cat2eGFR 60 - <75,0.30147932668162236,0.15131705830821512,1.9923684087721576,0.04633065089283869,male,melanoma
ckd_cat2eGFR 45 - <60,0.015772362141056206,0.17352916655934011,0.09089170687431776,0.9275786398724126,male,melanoma
ckd_cat2eGFR <45,0.16743902100344152,0.18889305007779836,0.8864223481725734,0.3753899809466867,male,melanoma
age,0.06380967050721485,0.007151127067021679,8.92302288984364,4.537309344244646e-19,male,melanoma
WIMD_2011_DECILE,-0.04526802715337039,0.01860983161419677,-2.432479137470381,0.014995855377440182,male,melanoma
SMOKING_STATUSNon_smoker,-0.21611078031269138,0.11871953759020379,-1.8203472208480358,0.06870614453281042,male,melanoma
SMOKING_STATUSSmoker,0.42645276963629675,0.1911298395064546,2.2312202570645443,0.025666542786485357,male,melanoma
mm_count_no_ckd,0.1590708381258347,0.02652775489401893,5.996392787906056,2.017486986015642e-9,male,melanoma
stage_simplified2,1.17489589889499,0.1410072245114976,8.332168106742573,7.937513108258066e-17,male,melanoma
stage_simplified3,1.1570358879526055,0.22345338189462846,5.177974386166223,2.2430801792631413e-7,male,melanoma
stage_simplified4,2.2914278841129354,0.21273797044088802,10.771127877943341,4.71193166746786e-27,male,melanoma
stage_simplifiedUnknown,0.7898807472094892,0.19243955445752342,4.104565453999932,4.050755737051935e-5,male,melanoma
ckd_cat2eGFR >=105,-0.32339986686926886,0.26790814979246375,-1.207129634241407,0.22738222391515078,male,other
ckd_cat2eGFR 90 - <105,-0.0470820159092275,0.1042010871954594,-0.4518380486847657,0.6513856570578532,male,other
ckd_cat2eGFR 60 - <75,-0.049230391462320194,0.09048599775253366,-0.5440664045829313,0.586395777857954,male,other
ckd_cat2eGFR 45 - <60,-0.011009721808383527,0.11521834146955227,-0.09555528805535678,0.9238737775964923,male,other
ckd_cat2eGFR <45,0.3376203474870981,0.1313874197504015,2.569655056233543,0.010179982328703631,male,other
age,0.0260289333329578,0.003964236524111719,6.565938529308667,5.170614451312904e-11,male,other
WIMD_2011_DECILE,-0.005355654932360928,0.011813659320394056,-0.4533442845364094,0.6503008491636807,male,other
SMOKING_STATUSNon_smoker,-0.021610331036994324,0.07383925331220298,-0.2926672476714077,0.7697765067949143,male,other
SMOKING_STATUSSmoker,0.0949588686514801,0.10378716517967926,0.9149384558975537,0.3602239401771703,male,other
mm_count_no_ckd,0.021117816157824813,0.018060805965425343,1.1692621136759704,0.24229804247526437,male,other
stage_simplified2,0.1420755097241359,0.24136561445944069,0.5886319393188064,0.5561082034715317,male,other
stage_simplified3,0.3379487553958424,0.2166429263621306,1.5599344094482108,0.11877538198695362,male,other
stage_simplified4,0.8723875414832394,0.2007397724928735,4.345862958045398,1.3872916644879706e-5,male,other
stage_simplifiedUnknown,0.5517107099524607,0.17691609209955242,3.1184879984914415,0.0018178154515654662,male,other
ckd_cat2eGFR >=105,0.6211456693502757,0.26369237569176124,2.3555693171665815,0.018494346156526925,male,prostate
ckd_cat2eGFR 90 - <105,0.21293524550328918,0.07087986849047449,3.0041710014163674,0.002663056021644584,male,prostate
ckd_cat2eGFR 60 - <75,0.030936514461920462,0.051597425726645475,0.599574766109785,0.5487896684360613,male,prostate
ckd_cat2eGFR 45 - <60,0.08770330935545802,0.059466293330491055,1.474840694509684,0.140255377642402,male,prostate
ckd_cat2eGFR <45,0.3087335811632034,0.06098071121027959,5.062807157145123,4.131276933428909e-7,male,prostate
age,0.08957747340664961,0.0028276433732318186,31.67919768618777,3.005644057606851e-220,male,prostate
WIMD_2011_DECILE,-0.02217827680126382,0.006654924774655902,-3.332611194303179,8.603508289860828e-4,male,prostate
SMOKING_STATUSNon_smoker,-0.12189556347553657,0.04174718768097778,-2.919850898868539,0.0035019889209770617,male,prostate
SMOKING_STATUSSmoker,0.48580382019075935,0.055190456189407384,8.802315721463431,1.3402151244118706e-18,male,prostate
mm_count_no_ckd,0.07969104125669871,0.009272819109823064,8.594046784788333,8.39588152889081e-18,male,prostate
stage_simplified2,0.23152688228545568,0.11283398975433183,2.051924981023434,0.04017695366308095,male,prostate
stage_simplified3,0.7006496412798412,0.11522654891209158,6.080626799075441,1.1971363779628147e-9,male,prostate
stage_simplified4,1.8500022864309924,0.10880969608895741,17.002182277198187,7.911892385990643e-65,male,prostate
stage_simplifiedUnknown,1.0295233597669382,0.11046198625894725,9.32015976386219,1.1616525047994836e-20,male,prostate
ckd_cat2eGFR >=105,0.4201441232969777,0.10270953927385831,4.090604692293786,4.302499380729503e-5,male,resp
ckd_cat2eGFR 90 - <105,0.12367658541794543,0.04666232306612286,2.6504592418746378,0.008038242538702008,male,resp
ckd_cat2eGFR 60 - <75,-3.4873125579254596e-4,0.04352872501419429,-0.008011520109509942,0.9936078001761098,male,resp
ckd_cat2eGFR 45 - <60,0.08685743576313174,0.0518717019921873,1.6744666634654448,0.09403892080534383,male,resp
ckd_cat2eGFR <45,0.09824663700984772,0.05746556359277454,1.7096610712124087,0.08732856533630541,male,resp
age,0.03343742290053863,0.002198831633414525,15.206904608978304,3.1823867672116336e-52,male,resp
WIMD_2011_DECILE,-0.01674071646907451,0.005666466103972819,-2.954348647270195,0.003133298039431664,male,resp
SMOKING_STATUSNon_smoker,-0.13314759568028747,0.0537386583611773,-2.477687380756755,0.013223695226688727,male,resp
SMOKING_STATUSSmoker,0.16144694167487494,0.03474700029367823,4.646356241124162,3.37849377673348e-6,male,resp
mm_count_no_ckd,0.024682617346905043,0.007541708937776702,3.272814895211467,0.001064821872650561,male,resp
stage_simplified2,0.48186350561048563,0.08027098835647749,6.0029596679508375,1.9375276035848768e-9,male,resp
stage_simplified3,1.0033519404386837,0.06211048845983235,16.154307675225645,1.059008527364909e-58,male,resp
stage_simplified4,1.7299092389049078,0.05849078487196553,29.575756979353656,3.0640913938093023e-192,male,resp
stage_simplifiedUnknown,1.4642645296285268,0.07401911509483207,19.78224851448893,4.2338399875474825e-87,male,resp
ckd_cat2eGFR >=105,3.2619281678510608,1.0403194585733972,3.1355062533620033,0.0017155777076574015,male,thyroid
ckd_cat2eGFR 90 - <105,0.16776910321535696,0.6040044715770575,0.2777613595762153,0.7811955549557259,male,thyroid
ckd_cat2eGFR 60 - <75,-0.31028746796511975,0.6562711551897745,-0.4728037572752891,0.6363531932372986,male,thyroid
ckd_cat2eGFR 45 - <60,-1.8423765799270888,1.1746581904070283,-1.5684363289449255,0.11677933836779728,male,thyroid
ckd_cat2eGFR <45,-1.6442442781319604,0.8874887192493423,-1.8526931581988995,0.06392635122398095,male,thyroid
age,0.11342886417292322,0.031184286460570695,3.6373724412884125,2.7543352112284063e-4,male,thyroid
WIMD_2011_DECILE,-0.01761368582148248,0.07026155898561692,-0.2506873755119515,0.8020558219576361,male,thyroid
SMOKING_STATUSNon_smoker,-0.9552373334091123,0.586395146223483,-1.6289993864394279,0.10331314883757307,male,thyroid
SMOKING_STATUSSmoker,0.100809164495611,0.6098474542055157,0.16530226337821,0.8687060774101881,male,thyroid
mm_count_no_ckd,0.06908586234916483,0.1142466921876736,0.6047077690063635,0.5453731851523683,male,thyroid
stage_simplified2,-17.714712404681098,5060.957238845728,-0.003500269132627835,0.9972071950032764,male,thyroid
stage_simplified3,0.4365637838829367,1.0324230522004931,0.4228535801796079,0.6724020925862506,male,thyroid
stage_simplified4,2.2400691633822136,0.8615378120836645,2.600082238949576,0.009320142188028041,male,thyroid
stage_simplifiedUnknown,1.1205647610668565,0.7423744755418477,1.5094333089091911,0.13118808629806558,male,thyroid
ckd_cat2eGFR >=105,0.5134872253215814,0.20241525848494815,2.5368009761959964,0.011187053332994822,female,abdo
ckd_cat2eGFR 90 - <105,0.08890849685876241,0.09085582078269046,0.9785668776402816,0.3277940318136537,female,abdo
ckd_cat2eGFR 60 - <75,0.0775810165244701,0.0734242611554948,1.0566128321015351,0.2906883216829787,female,abdo
ckd_cat2eGFR 45 - <60,0.19828051062780255,0.08368213920833736,2.3694483972757667,0.017814640854128205,female,abdo
ckd_cat2eGFR <45,0.314025086628282,0.09097227998687235,3.4518766230064477,5.567022186220857e-4,female,abdo
age,0.0329020014306862,0.0033651563815893307,9.77725778531187,1.4097837643484204e-22,female,abdo
WIMD_2011_DECILE,-0.009438754906764053,0.009293408490676223,-1.0156397317769525,0.3098009773309854,female,abdo
SMOKING_STATUSNon_smoker,0.012006852428350203,0.06302778584146422,0.1905009396736769,0.8489166069163371,female,abdo
SMOKING_STATUSSmoker,0.1410010721176015,0.07897255363332156,1.7854440008649752,0.07418932694177888,female,abdo
mm_count_no_ckd,0.01771215055405538,0.01311078777976142,1.3509600530180874,0.17670822940550673,female,abdo
stage_simplified2,0.11214349115126901,0.18230758971862496,0.6151334199763828,0.5384666129848773,female,abdo
stage_simplified3,0.4655010442160701,0.18059115166096262,2.5776514515505737,0.009947427916560763,female,abdo
stage_simplified4,1.2532905804306331,0.1563562989793,8.015606589642776,1.0959477518417463e-15,female,abdo
stage_simplifiedUnknown,0.8108239358141353,0.15509602425812785,5.227883433457152,1.7146155005021493e-7,female,abdo
ckd_cat2eGFR >=105,0.6472717260373075,0.15736397085408693,4.1132142416352675,3.90187956844888e-5,female,dig
ckd_cat2eGFR 90 - <105,0.13326598052526203,0.06941886507249473,1.9197372412541058,0.05489109765854852,female,dig
ckd_cat2eGFR 60 - <75,0.1051727107947225,0.05222463188455917,2.013852601722561,0.04402501114473526,female,dig
ckd_cat2eGFR 45 - <60,0.13368680866352045,0.061316258095497234,2.180283220403134,0.029236474087207764,female,dig
ckd_cat2eGFR <45,0.33451866286262283,0.0661638688784396,5.05591145942843,4.283400392829324e-7,female,dig
age,0.047568216967324065,0.0023321456278010636,20.39676099136881,1.7866497367273014e-92,female,dig
WIMD_2011_DECILE,-0.03446746034995561,0.0067299060834194535,-5.121536604332932,3.030558943413582e-7,female,dig
SMOKING_STATUSNon_smoker,-0.06621480058640976,0.04424546484076566,-1.4965330531549215,0.1345148011720859,female,dig
SMOKING_STATUSSmoker,0.34195787401720834,0.0572105997097639,5.9771768824658515,2.2703764479087917e-9,female,dig
mm_count_no_ckd,0.025662296873979897,0.009149131831173354,2.804888742180117,0.005033395050850716,female,dig
stage_simplified2,0.5354118516313012,0.09756825021797871,5.487562300596038,4.0751831000467856e-8,female,dig
stage_simplified3,0.8550615677928786,0.09340153204588787,9.154684608093897,5.451682288308547e-20,female,dig
stage_simplified4,2.22243504176504,0.09265462954686741,23.986227699943125,3.871900161131035e-127,female,dig
stage_simplifiedUnknown,1.574164511623205,0.09580052803749117,16.431689301411385,1.1345383384814885e-60,female,dig
ckd_cat2eGFR >=105,0.5266845245553695,0.3314713745575214,1.588929135309004,0.11207639251757984,female,headneck
ckd_cat2eGFR 90 - <105,0.16647196584155527,0.18497233552010126,0.8999830454293231,0.3681292734847093,female,headneck
ckd_cat2eGFR 60 - <75,0.19874285692805008,0.18944405173845444,1.0490847039232116,0.2941391354178046,female,headneck
ckd_cat2eGFR 45 - <60,0.6552650821476649,0.21346044257547026,3.0697260543531004,0.002142551956206293,female,headneck
ckd_cat2eGFR <45,0.38001240210749965,0.28283430122508324,1.3435866882534901,0.17908207647943947,female,headneck
age,0.04448501510114227,0.008150557914158214,5.457910436274308,4.8177055060769786e-8,female,headneck
WIMD_2011_DECILE,-0.008343236642745933,0.023113139036452426,-0.36097375737616444,0.7181190648797319,female,headneck
SMOKING_STATUSNon_smoker,-0.38058333871020317,0.19422017804748093,-1.9595458233858796,0.05004889894984933,female,headneck
SMOKING_STATUSSmoker,0.5394894159636857,0.16582938476831238,3.2532799703588746,0.0011408103660505305,female,headneck
mm_count_no_ckd,0.05409974162189658,0.030384352891484764,1.7805132074100571,0.07499200980953594,female,headneck
stage_simplified2,0.10938223908927516,0.25554846371613216,0.42802933540926674,0.6686297628310437,female,headneck
stage_simplified3,0.4405738030974683,0.27917075916247414,1.5781516818566927,0.11453076750081312,female,headneck
stage_simplified4,1.038311992117462,0.198641826932722,5.2270561953154395,1.7223016662125464e-7,female,headneck
stage_simplifiedUnknown,0.6343530977674295,0.23228097997886207,2.730973056102814,0.006314763407080658,female,headneck
ckd_cat2eGFR >=105,-0.3271899685215672,0.5918380131227039,-0.5528370284889624,0.5803750105655238,female,kub
ckd_cat2eGFR 90 - <105,0.03255563299476481,0.16253034529370475,0.20030495189027192,0.841242089980987,female,kub
ckd_cat2eGFR 60 - <75,0.07711920720979269,0.12245092431922969,0.6297968564838501,0.5288275026221344,female,kub
ckd_cat2eGFR 45 - <60,0.054166968699037324,0.12253948512841918,0.4420368556491919,0.658462536245155,female,kub
ckd_cat2eGFR <45,0.22265546253940208,0.1185314229891191,1.8784509366755962,0.06031950294666645,female,kub
age,0.044083869390709435,0.004654320879982108,9.471600804386075,2.7558741249653515e-21,female,kub
WIMD_2011_DECILE,-0.030508659472335317,0.01368120138581983,-2.229969328860012,0.025749479137612823,female,kub
SMOKING_STATUSNon_smoker,-0.024127633731702264,0.09109277524460084,-0.26486879631139937,0.7911105369871188,female,kub
SMOKING_STATUSSmoker,0.16162071074636986,0.11304249365952626,1.4297341248783557,0.1527933421603964,female,kub
mm_count_no_ckd,0.04379962582822575,0.019555988343998215,2.239704026090196,0.025110144026015642,female,kub
stage_simplified2,0.8287458446971212,0.1324291726477511,6.25803082604394,3.8986877098649376e-10,female,kub
stage_simplified3,0.6342188340985363,0.15734997791250943,4.030625504448294,5.5628615906088896e-5,female,kub
stage_simplified4,1.9181577452778762,0.12143110619784127,15.796263456191557,3.301122500285891e-56,female,kub
stage_simplifiedUnknown,0.9238143395185588,0.11869225762555549,7.78327380403331,7.067145292577365e-15,female,kub
ckd_cat2eGFR >=105,0.06898108536271788,0.20879285905673647,0.33038048175763163,0.7411124876426263,female,female
ckd_cat2eGFR 90 - <105,0.15093540028330013,0.08910738543492264,1.6938596003754598,0.0902919653976155,female,female
ckd_cat2eGFR 60 - <75,0.026468226710029793,0.07203006994586807,0.36746079421998556,0.7132753310854866,female,female
ckd_cat2eGFR 45 - <60,0.29644067271256846,0.07908284337094063,3.7484827312303874,1.7790758452534129e-4,female,female
ckd_cat2eGFR <45,0.4786467519641799,0.08626903056361272,5.548303357961548,2.884550681551861e-8,female,female
age,0.04579511411045673,0.003033641249198949,15.095757984748264,1.7269190759192322e-51,female,female
WIMD_2011_DECILE,-0.018386375127110416,0.008863170701374535,-2.074469255597095,0.038035751193715765,female,female
SMOKING_STATUSNon_smoker,0.07758912695187598,0.05946489993878778,1.3047886573717435,0.19196482248962046,female,female
SMOKING_STATUSSmoker,0.24087190034792527,0.0834689506368859,2.88576648574136,0.003904617457505665,female,female
mm_count_no_ckd,0.04537260664251317,0.013047750880185912,3.477427417120235,5.062500965612967e-4,female,female
stage_simplified2,0.7672280641682905,0.125749078150359,6.1012619372915875,1.052342879012977e-9,female,female
stage_simplified3,1.783603910329569,0.076016704136552,23.463315472420465,9.667377669638124e-122,female,female
stage_simplified4,2.2946091473811863,0.08138164135033375,28.195660708086418,6.609688387759861e-175,female,female
stage_simplifiedUnknown,1.6452674448280404,0.07710559567171575,21.33784753875607,5.0569698776691607e-101,female,female
ckd_cat2eGFR >=105,1.2077364543301474,0.4602858310210537,2.6238836239017425,0.008693348332702897,female,melanoma
ckd_cat2eGFR 90 - <105,0.22859779153463242,0.2689266686534925,0.850037642898023,0.39530415826676096,female,melanoma
ckd_cat2eGFR 60 - <75,0.17877438888893235,0.18715521470376947,0.9552199182475233,0.3394664951120861,female,melanoma
ckd_cat2eGFR 45 - <60,0.2267751115783111,0.20544009357028167,1.10385031294162,0.26965807550403165,female,melanoma
ckd_cat2eGFR <45,0.21975564779707984,0.23209863717975632,0.9468200695503566,0.34373047318919414,female,melanoma
age,0.06921609851893336,0.008240863177921779,8.399132108438744,4.4979056205867636e-17,female,melanoma
WIMD_2011_DECILE,-0.0042826417182616145,0.023361581044135243,-0.1833198579398692,0.8545470540350901,female,melanoma
SMOKING_STATUSNon_smoker,-0.21922650651835085,0.15137940273376382,-1.4481924393896048,0.14756323848051367,female,melanoma
SMOKING_STATUSSmoker,0.5944426792097752,0.21954857046735007,2.707567978895937,0.006777818838803005,female,melanoma
mm_count_no_ckd,0.08267144599901198,0.03474899596032418,2.3791031572079047,0.017354818487935197,female,melanoma
stage_simplified2,0.6521657256799387,0.16575121664955536,3.934605964665709,8.333329756190468e-5,female,melanoma
stage_simplified3,1.0376695928729796,0.27483597033225304,3.7755960095708225,1.5962552491547742e-4,female,melanoma
stage_simplified4,2.0186308112852562,0.2528558920187237,7.983325186410047,1.4244299296041095e-15,female,melanoma
stage_simplifiedUnknown,0.275133380894024,0.20915653929688702,1.3154424041386832,0.18836126221186036,female,melanoma
ckd_cat2eGFR >=105,0.5235704501876741,0.2949929824231809,1.7748573063903887,0.07592145124405096,female,other
ckd_cat2eGFR 90 - <105,0.15711279472469766,0.1443215100043957,1.0886304800989983,0.2763168699936719,female,other
ckd_cat2eGFR 60 - <75,-0.16721418881907865,0.12710234834101158,-1.3155869344793556,0.18831272121771833,female,other
ckd_cat2eGFR 45 - <60,-0.20756741125328704,0.16073025573088418,-1.2914022335709079,0.19656423653354577,female,other
ckd_cat2eGFR <45,0.6182408240749977,0.18081894531095624,3.419115309028058,6.282509702350426e-4,female,other
age,0.04404427948415205,0.005141185997057715,8.56694924271529,1.0626270211729357e-17,female,other
WIMD_2011_DECILE,-0.021765934831694506,0.016361154658840343,-1.3303422212889984,0.18340554208381465,female,other
SMOKING_STATUSNon_smoker,0.005701468506362946,0.10807660767305864,0.052753955079811496,0.9579279489028952,female,other
SMOKING_STATUSSmoker,0.20636364096641008,0.14884281113951736,1.386453530315117,0.16560846052349498,female,other
mm_count_no_ckd,0.035915517759649074,0.02383741127644793,1.506687003178683,0.13189090449461344,female,other
stage_simplified2,0.1740285558610443,0.44538852968229636,0.3907342561901672,0.6959936750274338,female,other
stage_simplified3,0.9438872904361806,0.39831976969158234,2.3696722137769597,0.01780386155916267,female,other
stage_simplified4,1.2677952700425323,0.3588913675375893,3.5325320827332156,4.1160027985646816e-4,female,other
stage_simplifiedUnknown,1.0573164374741137,0.3226183278270458,3.2772981144485263,0.0010480564953537722,female,other
ckd_cat2eGFR >=105,0.5962509681733197,0.18040424673703187,3.3050827735915282,9.494835418787817e-4,female,breast
ckd_cat2eGFR 90 - <105,0.15410125697158839,0.08220298090920052,1.8746431731205102,0.06084182953915606,female,breast
ckd_cat2eGFR 60 - <75,0.11824278799944378,0.06434292417595035,1.8376968332384207,0.06610709077469815,female,breast
ckd_cat2eGFR 45 - <60,0.2320666151836436,0.07378958801580882,3.144977786485611,0.0016609944137802124,female,breast
ckd_cat2eGFR <45,0.365972973037404,0.07792091119648464,4.6967234779194245,2.6436796384007133e-6,female,breast
age,0.057181030257819766,0.0027089806364053934,21.107950898347706,6.722469137349286e-99,female,breast
WIMD_2011_DECILE,-0.02138351932632454,0.008072607532600697,-2.64889866625729,0.008075454118441839,female,breast
SMOKING_STATUSNon_smoker,-0.13542032799345086,0.052140674337600924,-2.597210905187571,0.00939841971473852,female,breast
SMOKING_STATUSSmoker,0.37480491037790725,0.06821446859520035,5.494507515730746,3.91802241534636e-8,female,breast
mm_count_no_ckd,0.07864418301457823,0.011201501116211408,7.020861061269743,2.2050504665256603e-12,female,breast
stage_simplified2,0.6360854849091181,0.0730439990184674,8.70825110148062,3.085990850155478e-18,female,breast
stage_simplified3,1.4849180428775326,0.08339744404597604,17.805318374732376,6.4265770285197746e-71,female,breast
stage_simplified4,2.7796016334232783,0.08846140123219876,31.421632426183418,1.0248945123541897e-216,female,breast
stage_simplifiedUnknown,1.3843982172835299,0.07623834032153541,18.158818928177432,1.0935197881045594e-73,female,breast
ckd_cat2eGFR >=105,0.5157663444023817,0.12195130599722809,4.229281024789557,2.3443934469645882e-5,female,resp
