model,term,estimate,std.error,or,lower,upper,p.value
resp,WIMD_2011_DECILE,-0.012666341228225865,0.004091188509308488,0.99,0.98,1,0.00196
resp,SMOKING_STATUSNon_smoker,-0.14147104675383468,0.03791737567738638,0.87,0.81,0.94,1.9e-4
resp,SMOKING_STATUSSmoker,0.18134468038439508,0.025326940469068877,1.2,1.14,1.26,0
resp,mm_count_no_ckd,0.025794438824991345,0.005339781906303288,1.03,1.02,1.04,0
resp,stage_simplified2,0.49905036212416043,0.056402559581442475,1.65,1.47,1.84,0
resp,stage_simplified3,1.0112925417255487,0.04348720327236405,2.75,2.52,2.99,0
resp,stage_simplified4,1.7343492506187674,0.04070178270519029,5.67,5.23,6.14,0
resp,stage_simplifiedUnknown,1.450348713194754,0.05150070200392266,4.26,3.86,4.72,0
resp,eGFR:sex1,0.0019458499745040317,0.0011605028477542766,1,1,1,0.0936
thyroid,eGFR,-0.009659170073975038,0.009261432923988634,0.99,0.97,1.01,0.29697
thyroid,sex1,-2.6151442039368638,0.9312526010616085,0.07,0.01,0.45,0.00498
thyroid,age,0.09570001910069496,0.016158096008216268,1.1,1.07,1.14,0
thyroid,WIMD_2011_DECILE,0.018306583284825886,0.04471732578797191,1.02,0.93,1.11,0.68226
thyroid,SMOKING_STATUSNon_smoker,-0.3687094216372303,0.2836072726863167,0.69,0.4,1.21,0.19358
thyroid,SMOKING_STATUSSmoker,0.6415425276318385,0.35930380358808034,1.9,0.94,3.84,0.07418
thyroid,mm_count_no_ckd,0.13804154242833983,0.06729653288071624,1.15,1.01,1.31,0.04024
thyroid,stage_simplified2,-1.0065836213666652,1.1302888045584798,0.37,0.04,3.35,0.37317
thyroid,stage_simplified3,0.5016936018025767,0.6811808327438152,1.65,0.43,6.28,0.46142
thyroid,stage_simplified4,1.768600755182186,0.5647446957634189,5.86,1.94,17.73,0.00174
thyroid,stage_simplifiedUnknown,1.2688952634128812,0.5510059960503717,3.56,1.21,10.47,0.02129
thyroid,eGFR:sex1,0.04031630958967188,0.01242657110155666,1.04,1.02,1.07,0.00118
